specObjID,ra,dec,redshift,zErr,class,subClass,u,g,r,i,z,plate,mjd,fiberID
1.08E+19,148.10671,16.22396,1.37E-05,1.18E-05,STAR,F3/F5V (30743),19.03357,18.02396,17.70747,17.64521,17.60084,9584,57786,377
1.95E+18,113.84258,42.937547,1.38E-05,1.90E-05,STAR,M4,20.98155,18.29254,16.77885,15.37954,14.62733,1735,53035,339
3.38E+18,163.03182,40.472316,1.39E-05,8.68E-06,STAR,K1,15.52602,15.47291,13.04595,12.89995,13.65124,3000,54843,358
3.50E+18,6.3415298,6.3517799,1.39E-05,1.00E-05,STAR,K7,20.07904,17.41493,16.24914,15.80492,15.56891,3106,54738,220
1.69E+18,15.442223,-0.959841,1.39E-05,1.20E-05,STAR,M2,21.48295,18.61499,17.17526,16.06895,15.485,1497,52886,20
1.66E+18,327.35638,0.029602,1.40E-05,1.65E-05,STAR,M2,22.53197,19.69101,18.18781,17.07916,16.49188,1473,52908,240
3.32E+18,118.74854,9.488337,1.42E-05,6.42E-06,STAR,K3,19.07119,16.93113,16.08201,15.79764,15.66889,2945,54505,491
8.26E+18,31.144671,-0.28711983,1.44E-05,6.98E-06,STAR,G4V (32923),17.53229,16.11,15.60197,15.39279,15.34562,7332,56683,75
1.68E+18,11.328176,1.144966,1.45E-05,1.16E-05,STAR,M2,21.34226,18.92231,17.58491,16.63242,16.13934,1495,52944,569
3.50E+18,8.8541203,-11.1468,1.47E-05,4.95E-05,STAR,A0,20.42489,19.5484,19.38997,19.40142,19.46151,3105,54825,52
3.04E+18,98.241743,27.402475,1.48E-05,1.00E-05,STAR,G0,19.08571,17.80824,17.28347,17.0809,16.9714,2696,54167,454
3.80E+18,198.45467,32.094034,1.49E-05,8.00E-06,STAR,K5,18.65464,16.49819,15.57922,15.22833,15.03701,3377,54950,289
2.70E+18,48.451933,40.948813,1.50E-05,7.38E-06,STAR,F9,18.81264,17.18549,16.54151,16.28236,16.16016,2397,53763,171
