,_DEJ2000,Source,SolID,PF,P1O,EpochG,Gmagavg,BPmagavg,RPmagavg,RVavg,ptpG,ptpRV,R21G,R31G,phi21G,phi31G,FuNFreq1,FuNFreq2,Class,Pratio
263.550602,-49.29164596,5.94685E+18,3.75317E+17,0.486077537,0.361971532,1708.680028,15.680901,15.953312,15.237163,,0.20345828,,,,,,2.762584793,2.057305132,RRd,0.744678584
143.812825,-25.27878831,5.6615E+18,3.75317E+17,0.532329728,0.397176059,1765.572138,15.692631,15.902299,15.336665,,0.47957563,,0.20314483,,4.7401648,,2.517729575,1.878507607,RRd,0.746109109
322.4510808,11.98869133,1.74593E+18,3.75317E+17,0.414277212,0.414278257,1762.66443,15.704651,15.921669,15.330411,,0.43110588,,0.2624103,,4.365033,,2.413836556,1.799423527,RRd,1.000002521
267.2992243,-1.508215133,4.37086E+18,3.75317E+17,0.477464107,0.355475522,1717.501152,15.70624,16.085058,15.128657,,0.29706565,,,,,,2.813053741,2.094471481,RRd,0.744507319
322.5163469,12.19811427,1.74595E+18,3.75317E+17,0.575551177,0.428910954,1788.250105,15.709702,15.9206295,15.28387,,0.311758,,0.17823616,,5.624733,,2.3314646,1.737489274,RRd,0.745217752
287.890544,30.24339705,2.03936E+18,3.75317E+17,0.487100377,0.362813943,1762.229946,15.724899,15.955869,15.286235,,0.24730636,,,,,,2.756188288,2.053037286,RRd,0.744844307
143.2230925,37.28177909,7.9916E+17,3.75317E+17,0.415465859,0.415464723,1720.216074,15.725175,15.905968,15.399058,,0.33433804,,0.30874944,,4.4924946,,2.406943222,1.796244796,RRd,0.999997267
274.4515478,-70.37790067,6.43159E+18,3.75317E+17,0.482656942,0.359307011,1705.043838,15.727797,15.918096,15.336207,,0.6659762,,0.25974238,,5.5874643,,2.783186991,2.071820982,RRd,0.744435602
112.3832449,-7.22438292,3.05475E+18,3.75317E+17,0.481657529,0.358585852,1723.373303,15.734895,16.0296,15.2502775,,0.17198643,,,,,,2.788765815,2.076185761,RRd,0.74448302
297.5571306,-75.40620649,6.36677E+18,3.75317E+17,0.455646599,0.338339068,1703.740904,15.736794,15.994467,15.323677,,0.5385525,,0.3909709,,3.9490774,,2.194799286,2.95558554,RRd,0.742547118
107.8234337,-34.73174782,5.59062E+18,3.75317E+17,0.475407207,0.344597665,1762.961248,15.740509,16.012077,15.273713,,1.0079756,,0.49356773,0.35196698,3.9573412,1.9692869,2.103457425,2.901955738,RRd,0.724847374
263.0081332,12.58553432,4.49392E+18,3.75317E+17,0.516538277,0.384349857,1718.831934,15.748434,15.990108,15.332268,,0.5876477,,,,,,2.601802297,1.935986723,RRd,0.744087852
294.5035352,8.794073154,4.30136E+18,3.75317E+17,0.491120704,0.365644353,1758.361843,15.748705,16.130674,15.139232,,0.31284845,,,,,,2.734907573,2.036191791,RRd,0.74451016
263.1996566,32.41739999,4.60167E+18,3.75317E+17,0.499367065,0.37166963,1722.486717,15.755541,15.926043,15.389554,,0.47287294,,0.43133602,,4.892863,,2.690499239,2.002602149,RRd,0.744281423
322.4458944,12.16609101,1.74595E+18,3.75317E+17,0.544645177,0.405996233,1762.514579,15.760893,15.891418,15.327026,,0.37359318,,0.21769804,,5.0342937,,2.463105993,1.836027526,RRd,0.745432531
245.2393231,1.235685589,4.40869E+18,3.75317E+17,0.504137723,0.375634229,1713.644719,15.773934,15.964878,15.418163,,0.1876449,,,,,,2.662279793,1.983459565,RRd,0.745102402
298.3290545,-19.07903749,6.87026E+18,3.75317E+17,0.546966674,0.407873581,1720.084281,15.79135,16.061573,15.2856865,,0.2920177,,0.3481719,,5.2687154,,2.45167555,1.828137396,RRd,0.745700973
265.7686526,6.912297298,4.48628E+18,3.75317E+17,0.542127376,0.40479531,1718.282957,15.792768,16.113094,15.29513,,0.38097614,,0.24890248,,4.526909,,2.470385037,1.844413016,RRd,0.746679338
223.4798003,39.53920297,1.29642E+18,3.75317E+17,0.476988877,0.354997677,1718.066721,15.793376,15.946685,15.503332,,0.49955732,,,,,,2.817047684,2.096516442,RRd,0.744247286
163.2282484,-45.10744049,5.38775E+18,3.75317E+17,0.484129052,0.360232837,1686.784213,15.817266,16.062836,15.414585,,0.4971815,,0.46227273,,4.689853,,2.775947303,2.065615176,RRd,0.744084322
322.4987329,12.13284973,1.74595E+18,3.75317E+17,0.522202769,0.389563979,1762.747642,15.82529,15.965441,15.33483,,0.22797635,,,,,,2.566988029,1.914915185,RRd,0.746001366
259.5697358,-19.53326258,4.12226E+18,3.75317E+17,0.557225624,0.415632273,1712.820195,15.844629,16.209778,15.2375,,0.5791235,,0.42956933,,5.2084265,,2.405985118,1.794616528,RRd,0.745895837
230.9420582,-44.09816401,6.00059E+18,3.75317E+17,0.549530577,0.409870521,1704.585172,15.846764,16.163715,15.340145,,0.3196782,,0.28659856,,4.8745503,,2.439730205,1.819786917,RRd,0.745855714
