,_DEJ2000,Source,SolID,PF,P1O,EpochG,Gmagavg,BPmagavg,RPmagavg,RVavg,ptpG,ptpRV,R21G,R31G,phi21G,phi31G,FuNFreq1,FuNFreq2,Class,Pratio
108.1682708,-26.22043832,5.61035E+18,3.75317E+17,0.50755368,0.378208936,1761.369412,14.490428,14.879683,13.909596,,0.5152698,,0.24205533,,4.700705,,2.644094986,1.970272508,RRd,0.745160463
266.973927,48.0708989,1.36327E+18,3.75317E+17,0.477221059,0.354995607,1733.642689,14.520623,14.68332,14.19224,,0.15736665,,,,,,2.816936306,2.095430474,RRd,0.743880851
170.7742919,-31.78427576,3.48158E+18,3.75317E+17,0.555150002,0.413903207,1684.305255,14.543251,14.750118,14.190931,,0.36213633,,,,,,2.416074441,1.801402623,RRd,0.745570036
340.7512784,-54.7383449,6.50673E+18,3.75317E+17,0.53139623,0.396517156,1711.003644,14.545628,14.714767,14.219211,,0.45582095,,,,,,2.521921336,1.881799525,RRd,0.746179843
276.9750194,30.78858723,4.58857E+18,3.75317E+17,0.528531462,0.394299963,1724.001735,14.54869,14.779119,14.148427,,0.30910355,,,,,,2.536272893,1.89203979,RRd,0.746029312
202.9220269,-27.16298836,6.18889E+18,3.75317E+17,0.41513766,0.415142546,1699.735049,14.55347,14.764831,14.217491,,0.44580874,,0.3335565,,4.3419204,,2.408811163,1.79630713,RRd,1.000011772
4.554058213,21.03364968,2.79937E+18,3.75317E+17,0.5583916,0.416156719,1691.600554,14.554688,14.74121,14.196097,,0.5907849,,,,,,2.402973768,1.790778273,RRd,0.745277542
64.20664794,-29.85810524,4.88549E+18,3.75317E+17,0.477482319,0.354813138,1718.503258,14.614775,14.78348,14.316236,,0.6650516,,,,,,2.094518558,2.818242962,RRd,0.743091678
240.2973752,41.47177758,1.3833E+18,3.75317E+17,0.458870319,0.34076761,1721.145554,14.6532135,14.79211,14.359519,,0.48900476,,,,,,2.934513499,2.179243528,RRd,0.742622907
18.04450472,-41.22425507,4.98485E+18,3.75317E+17,0.534240844,0.398664626,1674.105408,14.681817,14.848301,14.35898,,0.45079768,,0.17700496,,4.8604426,,2.508409454,1.871802281,RRd,0.746226408
81.86179366,-17.42377947,2.97005E+18,3.75317E+17,0.458153519,0.458114157,1719.353989,14.6847315,14.8813095,14.3598585,,0.4930712,,,,,,2.182674494,2.939020176,RRd,0.999914087
36.2361042,-31.13924874,5.0669E+18,3.75317E+17,0.47261549,0.3517303,1713.312817,14.695821,14.8562155,14.396326,,0.56628066,,,,,,2.843049471,2.115900925,RRd,0.744220848
327.9452192,-64.31376591,6.40246E+18,3.75317E+17,0.555998824,0.41480062,1706.996997,14.760281,14.958474,14.408927,,0.16750672,,,,,,2.410823866,1.798660854,RRd,0.746045859
304.2666075,24.17244068,1.83214E+18,3.75317E+17,0.559805426,0.417220477,1762.768798,14.764278,15.235082,14.107373,,0.26251635,,,,,,2.396794597,1.78631148,RRd,0.745295521
70.20852785,-38.98550855,4.81659E+18,3.75317E+17,0.466273299,0.34667988,1721.945186,14.791122,14.957484,14.478696,,0.2563168,,0.2189579,0.33588973,5.084863,3.3016813,2.884512581,2.144744425,RRd,0.743512186
32.01668369,-22.35869931,5.1241E+18,3.75317E+17,0.354177699,0.354163043,1708.302984,14.826898,14.984383,14.534007,,0.49268627,,0.287816,,4.062255,,2.823558299,2.100311431,RRd,0.999958622
